,County FIPS Code,"Poverty Percent, All Ages",Median Household Income
329,11001,16.1,82533
330,12000,13.7,55433
331,12001,19.8,51026
332,12003,15.4,52804
333,12005,13.4,51777
334,12007,19.5,45075
335,12009,11,57612
336,12011,12.6,57200
337,12013,21.3,38323
338,12015,11.1,52724
339,12017,15.2,41556
340,12019,8.8,62835
341,12021,10.6,70649
342,12023,17.3,46195
343,12027,26.1,37233
344,12029,24.7,37148
345,12031,14.5,55733
346,12033,14.7,50644
347,12035,10.3,58975
348,12037,22.8,40297
349,12039,23.6,42259
350,12041,16.8,42186
351,12043,20.1,38680
352,12045,20.3,45426
353,12047,27.6,36299
354,12049,27,39169
355,12051,24,44391
356,12053,14.1,45884
357,12055,20.8,39994
358,12057,14.7,58361
359,12059,23.9,38040
360,12061,10.7,58228
361,12063,23.5,39545
362,12065,17.9,46332
363,12067,21,42689
364,12069,11.5,52447
365,12071,12.1,56343
366,12073,20.7,51046
367,12075,16.1,39037
368,12077,23.8,40814
369,12079,22.8,38249
370,12081,10.4,59587
371,12083,15.1,44517
372,12085,10.7,61592
373,12086,16,52043
374,12087,12,67094
375,12089,10.4,66898
376,12091,12.7,62779
377,12093,21.5,42258
378,12095,15.6,58037
379,12097,13.4,50473
380,12099,12.2,61735
381,12101,12.6,53788
382,12103,11.7,52226
383,12105,15.7,51354
384,12107,18.8,39578
385,12109,6.6,81925
386,12111,12.1,53377
387,12113,9.5,69541
388,12115,10.3,61652
389,12117,9.9,67187
390,12119,9.3,55324
391,12121,19.3,38525
392,12123,21.6,42307
393,12125,20.6,45906
394,12127,13.2,50285
395,12129,11.9,58203
396,12131,11.4,60973
397,12133,22.8,39225
398,13000,14.5,58634
399,13001,21.9,42781
400,13003,26.1,36779
401,13005,22.8,38775
402,13007,22.9,38288
403,13009,23.8,42727
404,13011,13,55384
405,13013,9.5,61413
406,13015,12.2,57409
407,13017,26.2,35020
408,13019,21.8,39412
409,13021,24.7,41390
410,13023,18.7,46019
411,13025,18.3,41874
412,13027,24.5,36354
413,13029,8.6,79658
414,13031,22.9,43766
415,13033,22,42785
416,13035,19.7,48831
417,13037,37.2,33393
418,13039,15.8,56555
419,13043,24.6,35841
420,13045,16.8,52502
421,13047,11.9,55807
422,13049,25.6,40499
423,13051,14.4,54165
424,13053,17.3,46869
425,13055,19.5,39513
426,13057,7.4,82733
427,13059,27,42112
428,13061,29.8,30239
429,13063,17.6,46059
430,13065,25.8,37593
431,13067,9.1,78603
432,13069,23.9,39480
433,13071,23.9,38633
434,13073,7.1,82184
435,13075,24.5,38827
436,13077,10.2,70974
437,13079,18.5,48004
438,13081,27.4,36096
439,13083,13.6,48779
440,13085,8.7,68835
441,13087,23.2,38441
442,13089,14.3,63477
443,13091,26.5,35636
444,13093,29.1,37278
445,13095,29.5,38806
446,13097,12.6,60512
447,13099,26.5,34984
448,13101,24.4,38667
449,13103,8.3,65793
450,13105,18.5,39681
451,13107,25.1,37574
452,13109,26.6,37319
453,13111,16.8,43439
454,13113,5,95021
455,13115,20.7,44906
456,13117,5,105921
457,13119,16.4,42904
458,13121,13.5,70808
459,13123,17.4,47757
460,13125,17.5,42820
461,13127,16.6,53906
462,13129,16.8,49101
463,13131,20,41002
464,13133,19.3,54016
465,13135,9.2,72008
466,13137,14.9,51829
467,13139,13.2,61631
468,13141,30.7,31716
469,13143,15.9,47662
470,13145,8.7,74686
471,13147,15,47171
472,13149,17.1,46218
473,13151,7.5,72970
474,13153,12.1,60728
475,13155,24.3,38156
476,13157,8.7,68984
477,13159,15.4,51241
478,13161,20.6,37211
479,13163,22.3,38274
480,13165,31.8,31419
481,13167,30,34849
482,13169,14.5,55737
483,13171,17.3,48323
484,13173,20.3,41564
485,13175,24.6,42114
486,13177,12.4,66090
487,13179,16.1,47685
488,13181,17.2,46967
489,13183,16.8,46428
490,13185,25.9,41820
491,13187,14.9,55583
492,13189,19.9,42768
493,13191,21.5,42513
494,13193,30.5,32868
495,13195,16.1,51338
496,13197,22.8,39114
497,13199,24.4,38886
498,13201,22.4,42483
499,13205,29.3,36788
500,13207,13,59362
501,13209,22.1,41834
502,13211,12.7,57978
503,13213,15.2,46810
504,13215,20.1,46628
505,13217,14.8,56598
506,13219,5.7,99497
507,13221,13.8,51105
508,13223,7.8,73309
509,13225,24,46525
510,13227,11,65062
511,13229,18.1,44389
512,13231,10.6,66901
513,13233,21.8,43679
514,13235,23.9,40582
515,13237,16.1,51205
516,13239,25.5,33908
517,13241,14.2,44213
518,13243,30.8,28298
519,13245,21.9,40168
520,13247,13.2,59673
521,13249,18.1,45378
522,13251,25.9,39048
523,13253,25.4,36869
524,13255,17.3,43510
525,13257,16.3,45850
526,13259,37.9,33053
527,13261,25.7,37562
528,13263,24.8,37265
529,13265,24.6,34090
530,13267,25.6,41440
531,13269,22.9,36310
532,13271,31.9,34297
533,13273,27.8,35290
534,13275,20.2,41642
535,13277,19.6,45680
536,13279,24.9,37148
537,13281,16,45853
538,13283,26.3,35069
539,13285,20.2,45234
540,13287,27.9,33261
541,13289,21.3,42054
542,13291,13.8,45943
543,13293,21.6,40965
544,13295,15.5,43767
545,13297,11.9,65416
546,13299,23.6,38357
547,13301,25.7,38352
548,13303,25.9,39444
549,13305,18.6,44607
550,13307,22.7,38187
551,13309,39.6,32691
552,13311,14.1,51579
553,13313,14.2,47074
554,13315,30.8,35961
555,13317,20.3,39361
556,13319,23.3,41036
557,13321,20.5,48708
558,15000,9,80527
559,15001,15.6,56383
560,15003,7.7,83695
561,15005,.,.
562,15007,8.5,73981
563,15009,8.6,78503
564,16000,11.7,55524
565,16001,9.7,66827
566,16003,13.2,45311
567,16005,13.8,51300
568,16007,10.7,53780
569,16009,14.7,48451
570,16011,12,50941
571,16013,7,76113
572,16015,12.8,56837
573,16017,14.1,51373
574,16019,10.6,60444
575,16021,13.5,47118
576,16023,15.1,50050
577,16025,9.7,53866
578,16027,11.5,53381
579,16029,8.9,61219
580,16031,13,51804
581,16033,15.5,48471
582,16035,15.5,46417
583,16037,14.7,47682
584,16039,12.9,49344
585,16041,8.8,58170
586,16043,15.3,51155
587,16045,13.4,49857
588,16047,13.7,51302
589,16049,16.2,40569
590,16051,9.1,61927
591,16053,12.5,54020
592,16055,10.3,56188
593,16057,12.7,49538
594,16059,14.7,44248
595,16061,14.2,44911
596,16063,13.8,50464
597,16065,23.9,41827
598,16067,12.4,53447
599,16069,13.3,54476
600,16071,11.3,52602
601,16073,14.7,48192
602,16075,12.8,51835
603,16077,13.7,51921
604,16079,18.8,36085
605,16081,7.6,68749
606,16083,13.6,51594
607,16085,8.4,60285
608,16087,15.3,43402
609,17000,12.1,65063
610,17001,12.3,55174
611,17003,27.6,35249
612,17005,13.8,54800
613,17007,9.2,74507
614,17009,14.8,55327
615,17011,11.6,56099
616,17013,11,56099
617,17015,11.4,51963
618,17017,12,52486
619,17019,19.2,53251
620,17021,12.5,52936
621,17023,11.1,54092
622,17025,14.3,45427
623,17027,8.2,66597
624,17029,20,47291
625,17031,13.8,63347
626,17033,11.8,52313
627,17035,11.7,60572
628,17037,13.1,63274
629,17039,11,55300
630,17041,9.2,56976
631,17043,6.6,93540
632,17045,13.5,51577
633,17047,11.1,51280
634,17049,9.7,60773
635,17051,14.9,47484
636,17053,9.7,55357
637,17055,19.4,42071
638,17057,14.2,51258
639,17059,20.5,43330
640,17061,13.9,47314
641,17063,5.9,79348
642,17065,12.3,53028
643,17067,11.1,53553
644,17069,20,41713
645,17071,11.3,53632
646,17073,11.5,58042
647,17075,9.9,55247
648,17077,25.7,41445
649,17079,10.2,54552
650,17081,16.3,47425
651,17083,8.9,59117
652,17085,7.8,56832
653,17087,12.2,53884
654,17089,8.6,79834
655,17091,16.2,53884
656,17093,4.2,93345
657,17095,16.4,44553
658,17097,8,87336
659,17099,13.6,54063
660,17101,17.5,43767
661,17103,10.1,54915
662,17105,12.6,59323
663,17107,10.9,52959
664,17109,21.9,42887
665,17111,5.9,86268
666,17113,14.4,67087
667,17115,17.4,50684
668,17117,12.9,53409
669,17119,13.8,60121
670,17121,19.5,46096
671,17123,9.5,57422
672,17125,14.6,48764
673,17127,17.2,43783
674,17129,9,74872
675,17131,9,58384
676,17133,4.3,88481
677,17135,14.4,53138
678,17137,15.2,48976
679,17139,9.6,59901
680,17141,8.4,61794
681,17143,16.6,56478
682,17145,17.8,49965
683,17147,7.3,67460
684,17149,14.1,47815
685,17151,18.6,43053
686,17153,19.7,38400
687,17155,8.5,66319
688,17157,13.8,53607
689,17159,15,48152
690,17161,14.2,52642
691,17163,14.8,58222
692,17165,20.3,40761
693,17167,13.1,62242
694,17169,11.4,52018
695,17171,10.3,55198
696,17173,10.2,56509
697,17175,11.2,52651
698,17177,12.7,47357
699,17179,9.6,61508
700,17181,17.4,49716
701,17183,19.3,44638
702,17185,14.4,53414
703,17187,12.9,53532
704,17189,7.4,66937
705,17191,13.8,50471
706,17193,12.3,49507
707,17195,10.5,57197
708,17197,6.4,86108
709,17199,14.4,46187
710,17201,16.1,53795
711,17203,7.1,72247
712,18000,13,55725
713,18001,11.6,56693
714,18003,13.5,54473
715,18005,10.1,63067
716,18007,11.5,51649
717,18009,14.1,45161
718,18011,5.4,85876
719,18013,10.1,60944
720,18015,8.8,57092
721,18017,13.5,48598
722,18019,11.2,56774
723,18021,13.8,52699
724,18023,11.9,51730
725,18025,15.8,44152
726,18027,11.5,55434
727,18029,9.4,66502
728,18031,11.7,57441
729,18033,10.1,58987
730,18035,22.5,43096
731,18037,7.6,62126
732,18039,11.5,59251
733,18041,14.5,47737
734,18043,9.5,64992
735,18045,11.2,53493
736,18047,8.6,62251
737,18049,13.6,52798
738,18051,10.6,56960
739,18053,19.9,45138
740,18055,14,46835
741,18057,4.2,101740
742,18059,5.6,73831
743,18061,9.3,60379
744,18063,5.9,80834
745,18065,14.4,50183
746,18067,12.3,55365
747,18069,10.1,53809
748,18071,12,55518
749,18073,9.4,66720
750,18075,13,48392
751,18077,15.5,51031
752,18079,14.8,51560
753,18081,7.7,69880
754,18083,15.7,48606
755,18085,9,57367
756,18087,7.8,67498
757,18089,15.7,55280
758,18091,15.7,52095
759,18093,12.5,53187
760,18095,17,49522
761,18097,17.2,48409
762,18099,11.5,55766
763,18101,11.8,55444
764,18103,16.1,47624
765,18105,21.4,48883
766,18107,10.8,53700
767,18109,10.6,66151
768,18111,10.3,53060
769,18113,9.1,61341
770,18115,9.7,58022
771,18117,15.6,44968
772,18119,12.6,49731
773,18121,15.7,49639
774,18123,12.4,52332
775,18125,11.1,54265
776,18127,8.9,69298
777,18129,9.2,68162
778,18131,12.2,49730
779,18133,12.2,54718
780,18135,13.6,46441
781,18137,11.1,57436
782,18139,10.7,53271
783,18141,13.5,54674
784,18143,15.5,44913
785,18145,11.6,57193
786,18147,9.2,56862
787,18149,11,49972
788,18151,11,58295
789,18153,13.7,47554
790,18155,17.7,47713
791,18157,18.1,52269
792,18159,8.4,60896
793,18161,10.7,50300
794,18163,15.1,50500
795,18165,15.2,49287
796,18167,19.2,48335
797,18169,12.4,51487
798,18171,9.8,60596
799,18173,7.1,75534
800,18175,13.4,44534
801,18177,16,45130
802,18179,8.5,60010
803,18181,8.5,58380
804,18183,7.1,67758
805,19000,11.2,60071
806,19001,9.7,54282
807,19003,12.7,51577
808,19005,11.7,53359
809,19007,15.2,44298
810,19009,11,51210
811,19011,7.9,62799
812,19013,16.3,52320
813,19015,8.8,63099
814,19017,6.6,74646
815,19019,10.6,59724
816,19021,10.2,52683
817,19023,9,57971
818,19025,11.3,54865
819,19027,8,60531
820,19029,12.6,50356
821,19031,7.6,67597
822,19033,10.4,51939
823,19035,9.4,56312
824,19037,8.6,64190
825,19039,11.2,52541
826,19041,9.7,56338
827,19043,9.4,53968
828,19045,12.5,51317
829,19047,12.3,54828
830,19049,5.2,87267
831,19051,12.7,54830
832,19053,20.3,41101
833,19055,9,61342
834,19057,12.7,51805
835,19059,7.8,55603
836,19061,11.3,60367
837,19063,11.2,51497
838,19065,11.7,50893
839,19067,11.4,53811
840,19069,9.9,59367
841,19071,10,54658
842,19073,12.1,51861
843,19075,6.8,65060
844,19077,11.4,60306
845,19079,8.4,56738
846,19081,8.5,60859
847,19083,9.9,55303
848,19085,9.7,60044
849,19087,11,55856
850,19089,10.2,53500
851,19091,9.7,60166
852,19093,10.3,60312
853,19095,7.4,64188
854,19097,11.1,54663
855,19099,10.2,60378
856,19101,16.3,46715
857,19103,15.8,64387
858,19105,11.4,55405
859,19107,12.5,52122
860,19109,10.1,55486
861,19111,14.6,48241
