FIPS,Deaths,Population,Crude_Rate
"06071",39,2128133,1.8

"06073",248,3299521,7.5

"06075",94,864816,10.9

"06077",46,726106,6.3

"06079",29,281401,10.3

"06081",25,765135,3.3

"06083",34,444769,7.6

"06085",59,1918044,3.1

"06087",27,274146,9.8

"06089",17,179533,Unreliable

"06091",Suppressed,2967,Suppressed

"06093",Suppressed,43554,Suppressed

"06095",20,436092,4.6

"06097",37,502146,7.4

"06099",26,538388,4.8

"06101",Suppressed,96463,Suppressed

"06103",Suppressed,63308,Suppressed

"06105",Suppressed,13069,Suppressed

"06107",12,459863,Unreliable

"06109",15,53709,Unreliable

"06111",53,850536,6.2

"06113",13,213016,Unreliable

"06115",Suppressed,74492,Suppressed

"08001",53,491337,10.8

"08003",Suppressed,16496,Suppressed

"08005",70,631096,11.1

"08007",Suppressed,12352,Suppressed

"08009",Suppressed,3615,Suppressed

"08011",Suppressed,5830,Suppressed

"08013",18,319372,Unreliable

"08014",Suppressed,65065,Suppressed

"08015",Suppressed,18658,Suppressed

"08017",Suppressed,1829,Suppressed

"08019",Suppressed,9303,Suppressed

"08021",Suppressed,8130,Suppressed

"08023",Suppressed,3584,Suppressed

"08025",Suppressed,5562,Suppressed

"08027",Suppressed,4445,Suppressed

"08029",Suppressed,29979,Suppressed

"08031",75,682545,11.0

"08033",Suppressed,1978,Suppressed

"08035",13,322387,Unreliable

"08037",Suppressed,53605,Suppressed

"08039",Suppressed,24735,Suppressed

"08041",72,674471,10.7

"08043",Suppressed,46692,Suppressed

"08045",Suppressed,58095,Suppressed

"08047",Suppressed,5828,Suppressed

"08049",Suppressed,14615,Suppressed

"08051",Suppressed,16067,Suppressed

"08053",Suppressed,774,Suppressed

"08055",Suppressed,6492,Suppressed

"08057",Suppressed,1356,Suppressed

"08059",57,565524,10.1

"08061",Suppressed,1423,Suppressed

"08063",Suppressed,7758,Suppressed

"08065",Suppressed,7485,Suppressed

"08067",Suppressed,54688,Suppressed

"08069",28,333577,8.4

"08071",Suppressed,14058,Suppressed

"08073",Suppressed,5557,Suppressed

"08075",Suppressed,22036,Suppressed

"08077",Suppressed,148513,Suppressed

"08079",Suppressed,726,Suppressed

"08081",Suppressed,12937,Suppressed

"08083",Suppressed,26168,Suppressed

"08085",Suppressed,40946,Suppressed

"08087",Suppressed,28360,Suppressed

"08089",Suppressed,18343,Suppressed

"08091",Suppressed,4691,Suppressed

"08093",Suppressed,16510,Suppressed

"08095",Suppressed,4349,Suppressed

"08097",Suppressed,17787,Suppressed

"08099",Suppressed,11954,Suppressed

"08101",25,163591,15.3

"08103",Suppressed,6571,Suppressed

"08105",Suppressed,11543,Suppressed

"08107",Suppressed,24130,Suppressed

"08109",Suppressed,6251,Suppressed

"08111",Suppressed,701,Suppressed

"08113",Suppressed,7879,Suppressed

"08115",Suppressed,2399,Suppressed

"08117",Suppressed,30257,Suppressed

"08119",Suppressed,23385,Suppressed

"08121",Suppressed,4864,Suppressed

"08123",19,285174,Unreliable

"08125",Suppressed,10146,Suppressed

"09001",112,948053,11.8

"09003",190,895841,21.2

"09005",52,183603,28.3

"09007",37,164063,22.6

"09009",171,859470,19.9

"09011",66,271863,24.3

"09013",22,151420,14.5

"09015",28,116573,24.0

"10001",25,173533,14.4

"10003",67,556779,12.0

"10005",30,215622,13.9

"11001",93,672228,13.8

"12001",10,259964,Unreliable

"12003",Suppressed,27420,Suppressed

"12005",19,181635,Unreliable

"12007",Suppressed,26928,Suppressed

"12009",51,568088,9.0

"12011",100,1896425,5.3

"12013",Suppressed,14462,Suppressed

"12015",12,173115,Unreliable

"12017",Suppressed,141058,Suppressed

"12019",37,203967,18.1

"12021",44,357305,12.3

"12023",Suppressed,68348,Suppressed

"12027",Suppressed,35458,Suppressed

"12029",Suppressed,16203,Suppressed

"12031",120,913010,13.1

"12033",47,311003,15.1

"12035",10,105392,Unreliable

"12037",Suppressed,11761,Suppressed

"12039",Suppressed,46036,Suppressed

"12041",Suppressed,17199,Suppressed

"12043",Suppressed,13670,Suppressed

"12045",Suppressed,15871,Suppressed

"12047",Suppressed,14295,Suppressed

"12049",Suppressed,27502,Suppressed

